Compound,Date,Negative,Neutral,Positive,Tweet,Tweets_Ago,User
0.0,Sat Jan 27 09:50:46 +0000 2018,1.0,0.0,0.0,"RT @BBCOne: This is the magic of the moon… as you've never seen it before.
🌑🌔🌓🌕🌗🌒🌑 
#WondersOfTheMoon. Wednesday. 9pm. @BBCOne. https://t.c…",90,@BBC
0.0,Sat Jan 27 09:50:38 +0000 2018,1.0,0.0,0.0,"RT @BBCScotland: Every year, Atlantic salmon make an extraordinary journey upstream to complete their life cycle.

Watch Highlands - Scotla…",91,@BBC
-0.6124,Sat Jan 27 09:50:18 +0000 2018,0.762,0.238,0.0,"RT @BBCTwo: For 32 years, fake news stopped women competing in track events at the Olympics. 🗞 #QI https://t.co/uHN6tXc0S1",92,@BBC
0.8658,Sat Jan 27 09:32:03 +0000 2018,0.549,0.0,0.451,"Want to celebrate an inspiring cook, food producer or innovative food business?

Nominate them for the… https://t.co/TnHODjaMcr",93,@BBC
-0.1901,Sat Jan 27 08:40:01 +0000 2018,0.78,0.131,0.089,"💔 Eva recounts the horrors of surviving not just one, but two Nazi concentration camps.

#HolocaustMemorialDay https://t.co/YtEUcyZQQC",94,@BBC
0.7959,Sat Jan 27 07:59:04 +0000 2018,0.736,0.0,0.264,"🎬 Big actors, tiny roles.

Guess the film titles in @BBCRadio4's small but perfectly formed miniature movie quiz!… https://t.co/Btt64CFl2m",95,@BBC
0.5859,Fri Jan 26 20:00:04 +0000 2018,0.612,0.0,0.388,"Amazing 👏👏👏 

#DarceyBussellsNewDance | 10pm Saturday | @BBCTwo https://t.co/8jwGEBIXUG",96,@BBC
0.2263,Fri Jan 26 19:33:04 +0000 2018,0.899,0.0,0.101,A domesticated cow has surprised Polish naturalists by spending the winter living with a herd of wild bison. 🐮… https://t.co/TbOsdGeWT8,97,@BBC
0.0,Fri Jan 26 19:00:04 +0000 2018,1.0,0.0,0.0,"🎶 Did you know that electronic music as we know it *kind of* started with two women’s experiments?

https://t.co/OzBHV9AgvT",98,@BBC
0.1027,Fri Jan 26 18:34:02 +0000 2018,0.643,0.164,0.193,"Small children... they're boring. 😂

@Sindhuvfunny's take on parenting is... hilarious. https://t.co/Tmg8cHXSCv",99,@BBC
0.4588,Fri Jan 26 17:57:04 +0000 2018,0.864,0.0,0.136,🥖🍞 This wholesome Instagram account dedicated solely to pictures of men with bread is exactly what the world needs… https://t.co/cj0YRux4S2,100,@BBC
